['\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00$GPGGA', '211237.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211559.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*41\r\n']
['$GPGGA', '211600.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211601.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211602.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211603.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211604.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211605.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211606.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211607.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211608.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*46\r\n']
['$GPGGA', '211609.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*47\r\n']
['$GPGGA', '211610.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211611.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211612.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211613.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211614.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211615.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211616.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211617.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211618.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*47\r\n']
['$GPGGA', '211619.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*46\r\n']
['$GPGGA', '211620.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211621.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '2116
